Data,Máxima,Mínima,Previsão
2021.12.06 21:00:00,1.12832,1.12775,1.1280354
2021.12.06 21:15:00,1.12832,1.12771,1.1280819
2021.12.06 21:30:00,1.12822,1.12771,1.1280986
2021.12.06 21:45:00,1.12826,1.12771,1.1279452
2021.12.06 22:00:00,1.12845,1.12771,1.127859
2021.12.06 22:15:00,1.12845,1.12773,1.1278543
2021.12.06 22:30:00,1.12845,1.12792,1.1279124
2021.12.06 22:45:00,1.12845,1.12805,1.128067
2021.12.06 23:00:00,1.12853,1.12805,1.128201
2021.12.06 23:15:00,1.12853,1.12801,1.1281507
2021.12.06 23:30:00,1.12853,1.12801,1.1281774
2021.12.06 23:45:00,1.12857,1.12801,1.12812
2021.12.07 00:00:00,1.12857,1.12801,1.1283078
2021.12.07 00:15:00,1.12857,1.12803,1.128144
2021.12.07 00:30:00,1.12857,1.12805,1.1282524
2021.12.07 00:45:00,1.12863,1.12813,1.1282378
2021.12.07 01:00:00,1.12863,1.12813,1.1282566
2021.12.07 01:15:00,1.12863,1.12809,1.1282486
2021.12.07 01:30:00,1.12863,1.12803,1.1283423
2021.12.07 01:45:00,1.12842,1.12803,1.1284102
2021.12.07 02:00:00,1.12837,1.12785,1.1282929
2021.12.07 02:15:00,1.12827,1.1275,1.1281866
2021.12.07 02:30:00,1.12827,1.1275,1.1281136
2021.12.07 02:45:00,1.12822,1.1275,1.1281536
2021.12.07 03:00:00,1.12818,1.1275,1.1279987
2021.12.07 03:15:00,1.12841,1.12756,1.1277413
2021.12.07 03:30:00,1.12846,1.12791,1.1278672
2021.12.07 03:45:00,1.1292,1.12795,1.127973
2021.12.07 04:00:00,1.1292,1.12801,1.1280586
2021.12.07 04:15:00,1.1292,1.12823,1.1282393
2021.12.07 04:30:00,1.1292,1.12844,1.1283495
2021.12.07 04:45:00,1.12918,1.12886,1.1288518
2021.12.07 05:00:00,1.12913,1.12886,1.1290472
2021.12.07 05:15:00,1.12922,1.12869,1.1290495
2021.12.07 05:30:00,1.12922,1.12869,1.1289607
2021.12.07 05:45:00,1.12922,1.12866,1.1289761
2021.12.07 06:00:00,1.12922,1.12857,1.1289916
2021.12.07 06:15:00,1.12895,1.12857,1.1288779
2021.12.07 06:30:00,1.12891,1.12857,1.1288041
2021.12.07 06:45:00,1.12902,1.12857,1.1287267
2021.12.07 07:00:00,1.12902,1.12865,1.1286833
2021.12.07 07:15:00,1.12905,1.12864,1.1287086
2021.12.07 07:30:00,1.12951,1.12864,1.1287901
2021.12.07 07:45:00,1.12957,1.12864,1.1288289
2021.12.07 08:00:00,1.12957,1.12864,1.1287466
2021.12.07 08:15:00,1.12957,1.12883,1.128801
2021.12.07 08:30:00,1.12957,1.12881,1.1291734
2021.12.07 08:45:00,1.12976,1.12881,1.12933
2021.12.07 09:00:00,1.12976,1.12862,1.1293329
2021.12.07 09:15:00,1.12976,1.12849,1.129103
2021.12.07 09:30:00,1.12976,1.12809,1.1290941
2021.12.07 09:45:00,1.12941,1.12809,1.1293056
2021.12.07 10:00:00,1.12941,1.12734,1.1289433
2021.12.07 10:15:00,1.12941,1.12526,1.1287766
2021.12.07 10:30:00,1.12941,1.12526,1.1288416
2021.12.07 10:45:00,1.12901,1.12526,1.1289395
2021.12.07 11:00:00,1.12776,1.12526,1.1280304
2021.12.07 11:15:00,1.12776,1.12567,1.1263945
2021.12.07 11:30:00,1.12776,1.12599,1.1261294
2021.12.07 11:45:00,1.12776,1.12626,1.1265422
2021.12.07 12:00:00,1.12771,1.12566,1.1271559
2021.12.07 12:15:00,1.12729,1.12566,1.1272172
2021.12.07 12:30:00,1.12695,1.12566,1.1270181
2021.12.07 12:45:00,1.12662,1.12566,1.1265347
2021.12.07 13:00:00,1.12662,1.12541,1.126062
2021.12.07 13:15:00,1.12662,1.12514,1.1262071
2021.12.07 13:30:00,1.12641,1.12502,1.1262548
2021.12.07 13:45:00,1.12641,1.12502,1.126236
2021.12.07 14:00:00,1.12591,1.12502,1.1258761
2021.12.07 14:15:00,1.12591,1.12502,1.1255405
2021.12.07 14:30:00,1.12591,1.12342,1.1252701
2021.12.07 14:45:00,1.12591,1.12267,1.1255506
2021.12.07 15:00:00,1.12588,1.12267,1.1253964
2021.12.07 15:15:00,1.12551,1.12267,1.1254777
2021.12.07 15:30:00,1.12449,1.12267,1.124395
2021.12.07 15:45:00,1.12449,1.12334,1.1235228
2021.12.07 16:00:00,1.12474,1.12345,1.1237084
2021.12.07 16:15:00,1.12486,1.12345,1.1239016
2021.12.07 16:30:00,1.12532,1.12345,1.1238666
2021.12.07 16:45:00,1.12534,1.12397,1.1239609
2021.12.07 17:00:00,1.1254,1.12397,1.1243448
2021.12.07 17:15:00,1.1254,1.12402,1.1245514
2021.12.07 17:30:00,1.1254,1.12357,1.1250082
2021.12.07 17:45:00,1.1254,1.12357,1.1247935
2021.12.07 18:00:00,1.12497,1.12357,1.1246549
2021.12.07 18:15:00,1.1251,1.12357,1.1244045
2021.12.07 18:30:00,1.1251,1.12398,1.1240711
2021.12.07 18:45:00,1.1251,1.12424,1.124373
2021.12.07 19:00:00,1.1251,1.12406,1.124644
2021.12.07 19:15:00,1.12503,1.12406,1.124842
2021.12.07 19:30:00,1.12494,1.12406,1.1247023
2021.12.07 19:45:00,1.12517,1.12406,1.1244879
2021.12.07 20:00:00,1.12533,1.1241,1.1242992
2021.12.07 20:15:00,1.12533,1.12452,1.1245277
2021.12.07 20:30:00,1.12589,1.12482,1.1247654
2021.12.07 20:45:00,1.12589,1.12491,1.124984
2021.12.07 21:00:00,1.12606,1.12498,1.1251242
2021.12.07 21:15:00,1.12616,1.12518,1.1251304
2021.12.07 21:30:00,1.12646,1.12553,1.1255817
2021.12.07 21:45:00,1.12646,1.12556,1.1256623
2021.12.07 22:00:00,1.12671,1.12584,1.1258852
2021.12.07 22:15:00,1.12671,1.12584,1.1260167
2021.12.07 22:30:00,1.12705,1.12603,1.126159
2021.12.07 22:45:00,1.12731,1.1263,1.1262696
2021.12.07 23:00:00,1.12731,1.12644,1.1265302
2021.12.07 23:15:00,1.12731,1.12628,1.1265925
2021.12.07 23:30:00,1.12731,1.12623,1.126837
2021.12.07 23:45:00,1.127,1.12623,1.1269351
2021.12.08 00:00:00,1.127,1.12623,1.1267954
2021.12.08 00:15:00,1.12704,1.12623,1.1265577
2021.12.08 00:30:00,1.12718,1.12648,1.1265728
2021.12.08 00:45:00,1.12724,1.12657,1.1267365
2021.12.08 01:00:00,1.12729,1.12657,1.1267416
2021.12.08 01:15:00,1.12745,1.1269,1.1268749
2021.12.08 01:30:00,1.12757,1.12703,1.127008
2021.12.08 01:45:00,1.12765,1.12708,1.1270947
2021.12.08 02:00:00,1.12769,1.12718,1.1271514
2021.12.08 02:15:00,1.12769,1.12723,1.1273097
2021.12.08 02:30:00,1.12778,1.12723,1.1274691
2021.12.08 02:45:00,1.12787,1.12723,1.1275618
2021.12.08 03:00:00,1.12808,1.12723,1.1274147
2021.12.08 03:15:00,1.12824,1.12747,1.1274053
2021.12.08 03:30:00,1.1286,1.12758,1.1276063
2021.12.08 03:45:00,1.12898,1.12769,1.1276886
2021.12.08 04:00:00,1.12907,1.12783,1.1278204
2021.12.08 04:15:00,1.12929,1.12809,1.1280084
2021.12.08 04:30:00,1.12929,1.12843,1.1283432
2021.12.08 04:45:00,1.12929,1.12878,1.1287181
2021.12.08 05:00:00,1.12929,1.12878,1.1289201
2021.12.08 05:15:00,1.12927,1.12878,1.1291173
2021.12.08 05:30:00,1.12916,1.12878,1.1291041
2021.12.08 05:45:00,1.12916,1.12878,1.1290451
2021.12.08 06:00:00,1.12916,1.12893,1.1290066
2021.12.08 06:15:00,1.12916,1.12881,1.1290169
2021.12.08 06:30:00,1.12921,1.12881,1.1290619
2021.12.08 06:45:00,1.12939,1.12881,1.1290032
2021.12.08 07:00:00,1.12949,1.12881,1.1289872
2021.12.08 07:15:00,1.12949,1.12886,1.1288841
2021.12.08 07:30:00,1.12949,1.12896,1.1290348
2021.12.08 07:45:00,1.12949,1.12884,1.1292462
2021.12.08 08:00:00,1.12947,1.12865,1.1292895
2021.12.08 08:15:00,1.12942,1.12865,1.1292628
2021.12.08 08:30:00,1.12923,1.12852,1.1291234
2021.12.08 08:45:00,1.12923,1.12852,1.1289282
2021.12.08 09:00:00,1.12932,1.12829,1.1287885
2021.12.08 09:15:00,1.12932,1.12829,1.1288304
2021.12.08 09:30:00,1.12932,1.12803,1.1286991
2021.12.08 09:45:00,1.12932,1.12803,1.1287973
2021.12.08 10:00:00,1.1293,1.12778,1.1287023
2021.12.08 10:15:00,1.12904,1.12778,1.1287725
2021.12.08 10:30:00,1.1287,1.12778,1.1285114
2021.12.08 10:45:00,1.12864,1.12778,1.1282672
2021.12.08 11:00:00,1.12868,1.12812,1.1281787
2021.12.08 11:15:00,1.12868,1.12759,1.1282709
2021.12.08 11:30:00,1.12868,1.12718,1.128334
2021.12.08 11:45:00,1.12995,1.12718,1.1283456
2021.12.08 12:00:00,1.12995,1.12718,1.1283892
2021.12.08 12:15:00,1.12995,1.12718,1.1279572
2021.12.08 12:30:00,1.12995,1.12834,1.1281339
2021.12.08 12:45:00,1.1296,1.12734,1.1290125
2021.12.08 13:00:00,1.12936,1.12675,1.1291991
2021.12.08 13:15:00,1.12877,1.12675,1.1288742
2021.12.08 13:30:00,1.12873,1.12658,1.1286479
2021.12.08 13:45:00,1.12942,1.12658,1.1279452
2021.12.08 14:00:00,1.13018,1.12658,1.1275662
2021.12.08 14:15:00,1.13037,1.12658,1.1272379
